TurnsToWin,CodeLength,NumColors
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
1,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
2,3,7
